Day,Start Time,End Time,Course title,Room,Instructor,Actual Class Duration
T,1:0 PM,2:15 PM,Principles of Management,GF-C109,Muhammad Wamiq,75
T,2:30 PM,3:45 PM,Petrocultures,GF-C109,Tajreen Jafri,75
T,8:30 AM,9:45 AM,Computer Architecture,W-110,Sorath Hansrajani,75
T,10:0 AM,11:15 AM,Jehan-e-Urdu,W-110,Inam Ullah,75
T,11:30 AM,12:45 PM,Hikma I,W-110,Zainab Saleem,75
T,1:0 PM,2:15 PM,Natural Language Processing,W-110,Faisal Alvi,75
T,2:30 PM,3:45 PM,Digital Signal Processing,W-110,Saad Baig,75
T,4:0 PM,5:0 PM,GSCP Research S II,W-110,Mohammad Moeini Feizabadi,60
T,5:15 PM,6:30 PM,Comparative Empires,W-110,Mariam Sabri,75
T,8:30 AM,9:45 AM,Software Security,E-100,Muhammad Nadeem,75
T,10:0 AM,10:50 AM,Signals and Systems,E-100,Shafayat Abrar,50
T,11:5 AM,12:45 PM,World Historical Figures,E-100,Marcelo Alves de Paula Lima,100
T,1:0 PM,4:20 PM,Design Your Habib Experience,E-100,Anzar Khaliq,200
T,4:35 PM,5:50 PM,Introduction to Political Sci,E-100,Ana Tawfiq Hussain,75
T,8:30 AM,9:45 AM,Capstone (Kaavish) II,FF-C200,Syeda Saleha Raza,75
T,8:30 AM,9:45 AM,Software Engineering,FF-C200,Ahsan Jawed,75
T,10:0 AM,11:40 AM,Creating Comics,FF-C200,Rohama Malik,100
T,11:55 AM,12:45 PM,Electric Circuits-II,FF-C200,Saad Baig,50
T,1:0 PM,2:15 PM,Understanding Histories,FF-C200,Abdullah Mirza,75
T,2:30 PM,3:45 PM,Mechanics & Thermodynamics,FF-C200,Syed Muntazir Mehdi Abidi,75
T,8:30 AM,9:45 AM,Power Electronics,FF-W244,Ishtiyaq Makda,75
T,8:30 AM,9:45 AM,Discrete Mathematics,FF-W244,Rameez Ragheb,75
T,10:0 AM,11:15 AM,Digital Signal Processing,FF-W244,Saad Baig,75
T,8:30 AM,9:45 AM,Software Engineering,CPE HALL,Mohsin Nagaria,75
T,8:30 AM,11:50 AM,Design Your Habib Experience,CPE HALL,Sana Rizwan,200
T,10:0 AM,11:15 AM,Ethics of AI,CPE HALL,Aeyaz Jamil Kayani,75
T,11:30 AM,12:45 PM,Ethics of AI,CPE HALL,Aeyaz Jamil Kayani,75
T,1:0 PM,2:15 PM,Petrocultures,CPE HALL,Tajreen Jafri,75
T,2:30 PM,3:45 PM,Politics of Conflict,CPE HALL,Ana Tawfiq Hussain,75
T,4:0 PM,5:15 PM,Rumi,CPE HALL,Noman Baig,75
T,8:30 AM,9:20 AM,Discrete Mathematics,LG09,Shams Arfeen,50
T,10:40 AM,11:55 AM,Data Science,LG09,Zeehasham Rasheed,75
T,1:25 PM,2:40 PM,SRS: Karachi,LG09,Coline Ferrant,75
T,8:30 AM,9:45 AM,Digital System Design,FF-N219,Muhammad Farhan,75
T,8:30 AM,9:45 AM,Scientific Methods,FF-N219,Huma abid,75
T,10:0 AM,11:15 AM,Scientific Methods,FF-N219,Huma abid,75
T,11:30 AM,12:45 PM,GPU Accelerated Computing,FF-N219,Muhammad Mobeen Movania,75
T,1:0 PM,2:15 PM,Data Structures & Algorithms,FF-N219,Saba Saeed,75
T,2:30 PM,5:20 PM,Data Structures & Algo Lab,FF-N219,Maria Samad,170
T,8:30 AM,9:45 AM,Interactive Storytelling,W-321,Christie Lauder,75
