Day,Start Time,End Time,Program,Course code,Course title,Class nbr,Section,Room,Instructor,Actual Class Duration
Monday,10:00,11:15,CH,PHIL 122,Introduction to Western Philos,1236,S1,GF-E101,Irfan Muhammad,75
Wednesday,16:05,17:20,CH,PHIL 122,Introduction to Western Philos,1236,S1,GF-E101,Irfan Muhammad,75
Friday,10:00,11:15,CH,PHIL 326,Philosophical Hermeneutics,1238,L1,FF-C200,Irfan Muhammad,75
Tuesday,15:35,16:50,CH,PHIL 326,Philosophical Hermeneutics,1238,L1,E-100,Irfan Muhammad,75
Monday,10:00,11:15,CH,PHIL/CS 223/223,Ethics of AI,1237,L1,E-010,Aeyaz Jamil Kayani,75
Friday,12:40,13:55,CH,PHIL/CS 223/223,Ethics of AI,1237,L1,FF-N219,Aeyaz Jamil Kayani,75
Monday,14:30,15:45,CH,PHIL/SDP 222,What is Power?,1239,S1,E-003,Najeeb Jan,75
Wednesday,15:00,16:15,CH,PHIL/SDP 222,What is Power?,1239,S1,E-003,Najeeb Jan,75
Monday,11:15,12:30,CH,PHIL/SDP 222,What is Power?,1240,S2,W-111,Najeeb Jan,75
Friday,13:35,14:50,CH,PHIL/SDP 222,What is Power?,1240,S2,GF-E101,Najeeb Jan,75
Thursday,10:00,11:15,ISCIM,PHY 101,Mechanics & Thermodynamics,1241,L1,GF-E121,Syed Muntazir Mehdi Abidi,75
Tuesday,11:30,12:45,ISCIM,PHY 101,Mechanics & Thermodynamics,1241,L1,LG-C001,Syed Muntazir Mehdi Abidi,75
Monday,10:25,11:40,ISCIM,PHY 202,Quantum Mechanics,1242,L1,FF-W243,Syed Muntazir Mehdi Abidi,75
Tuesday,13:00,14:15,ISCIM,PHY 202,Quantum Mechanics,1242,L1,FF-C200,Syed Muntazir Mehdi Abidi,75
Wednesday,10:00,13:20,PG,PLAY 113,Design Your Habib Experience,1245,D2,E-010,Sameena Shahzaman,200
Tuesday,11:30,14:50,PG,PLAY 113,Design Your Habib Experience,1246,D3,FF-N219,Neelma Bhatti,200
Wednesday,11:30,14:50,PG,PLAY 113,Design Your Habib Experience,1247,D4,LG-C001,Sana Rizwan,200
Wednesday,10:00,13:20,PG,PLAY 113,Design Your Habib Experience,1249,D6,FF-N219,Abdul Basit Memon,200
Monday,11:30,14:50,PG,PLAY 113,Design Your Habib Experience,1250,D7,FF-N219,Anzar Khaliq,200
Tuesday,13:10,14:25,SDP,POLI 102,Introduction to Political Sci,1193,S1,W-121,Ana Tawfiq Hussain,75
Thursday,10:00,11:15,SDP,POLI 102,Introduction to Political Sci,1193,S1,FF-N219,Ana Tawfiq Hussain,75
Friday,11:30,12:45,SDP,POLI 300,Petrocultures,1194,L1,LG-C025,Tajreen Jafri,75
Thursday,8:30,09:45,SDP,POLI 300,Petrocultures,1194,L1,FF-N219,Tajreen Jafri,75
Monday,16:00,17:15,SDP,POLI 304,Politics of Conflict,1195,S1,GF-C109,Ana Tawfiq Hussain,75
Friday,16:05,17:20,SDP,POLI 304,Politics of Conflict,1195,S1,W-114,Ana Tawfiq Hussain,75
Thursday,13:25,15:55,CH,REL 322,Many faces of the Sufi tradi,1196,S1,E-012,Muzammil Patel,150
Tuesday,14:20,15:35,CH,REL/ANT 201,Rumi,1197,S1,E-003,Noman Baig,75
Thursday,8:30,09:45,CH,REL/ANT 201,Rumi,1197,S1,LG-C025,Noman Baig,75
Thursday,16:05,16:55,SDP,SDP 103,Social Theory I,1198,L1,FF-W242,Ana Tawfiq Hussain,50
Friday,8:30,09:45,SDP,SDP 103,Social Theory I,1199,S1,LG26,Coline Ferrant,75
Thursday,10:00,11:15,SDP,SDP 103,Social Theory I,1199,S1,LG26,Coline Ferrant,75
Wednesday,12:35,13:50,SDP,SDP 103,Social Theory I,1200,S2,FF-N220,Ana Tawfiq Hussain,75
Thursday,8:30,09:45,SDP,SDP 103,Social Theory I,1200,S2,LG26,Ana Tawfiq Hussain,75
Tuesday,14:55,16:35,SDP,SDP 201,Qualitative Research Methods,1308,L1,LG-C001,Aaron Mulvany,100
Monday,14:40,16:20,SDP,SDP 201,Qualitative Research Methods,1308,L1,W-111,Aaron Mulvany,100
Wednesday,11:30,13:10,SDP,SDP 202B,Quantitative Research Methods,1202,L1,LG-C025,Zaineb Aftab Hussain Makati,100
Tuesday,14:10,15:50,SDP,SDP 202B,Quantitative Research Methods,1202,L1,GF-E101,Zaineb Aftab Hussain Makati,100
Wednesday,14:55,16:35,SDP,SDP 202B,Quantitative Research Methods,1203,L2,E-215,Zaineb Aftab Hussain Makati,100
Friday,15:30,17:10,SDP,SDP 202B,Quantitative Research Methods,1203,L2,E-100,Zaineb Aftab Hussain Makati,100
Tuesday,16:00,16:50,SDP,SDP 206,Social Theory II,1204,L1,LG26,Noman Baig,50
Thursday,14:30,15:45,SDP,SDP 206,Social Theory II,1205,S1,GF-C109,Mahso Gichki,75
Monday,14:30,15:45,SDP,SDP 206,Social Theory II,1205,S1,LG-C025,Mahso Gichki,75
Friday,10:00,11:15,SDP,SDP 206,Social Theory II,1206,S2,E-011,Noman Baig,75
Monday,14:05,15:20,SDP,SDP 206,Social Theory II,1206,S2,W-110,Noman Baig,75
Tuesday,12:40,15:10,SDP,SDP 215,Urban Design and Public Space,1207,S1,E-010,Sana Rizwan,150
Tuesday,11:30,13:10,SDP,SDP 302,Data Analytics,1208,S1,LG26,Sahaab Bader Sheikh,100
Wednesday,14:05,15:45,SDP,SDP 302,Data Analytics,1208,S1,FF-N220,Sahaab Bader Sheikh,100
Monday,14:30,16:10,SDP,SDP 302,Data Analytics,1209,S2,E-215,Sahaab Bader Sheikh,100
Tuesday,13:50,15:30,SDP,SDP 302,Data Analytics,1209,S2,CPE HALL,Sahaab Bader Sheikh,100
Friday,14:30,16:10,SDP,SDP 302,Data Analytics,1210,S3,SFCL,Mohammad Moeini Feizabadi,100
Thursday,15:05,16:45,SDP,SDP 302,Data Analytics,1210,S3,E-011,Mohammad Moeini Feizabadi,100
Tuesday,11:30,13:10,SDP,SDP 303,Public Policy II,1212,L1,W-321,Tajreen Jafri,100
Tuesday,13:00,14:40,SDP,SDP 303,Public Policy II,1213,S1,LG-C001,Farhan Anwar,100
Thursday,15:50,17:30,SDP,SDP 303,Public Policy II,1214,S2,FF-W243,Tajreen Jafri,100
Monday,8:30,10:10,SDP,SDP 303,Public Policy II,1215,S3,LG26,Muhammad Aatir Khan,100
Friday,11:30,14:00,SDP,SDP/CND 223/255,Intro to QGIS with GIS,1251,L1,W-121,Zaineb Aftab Hussain Makati,150
Monday,11:55,13:10,SDP,SOC 322,Gender and Human Rights,1216,S1,FF-W243,Mahso Gichki,75
Thursday,10:00,11:15,SDP,SOC 322,Gender and Human Rights,1216,S1,LG-C025,Mahso Gichki,75
Monday,11:30,12:45,SDP,SOC 422,SRS: Karachi,1252,S1,GF-E101,Coline Ferrant,75
Thursday,8:30,09:45,SDP,SOC 422,SRS: Karachi,1252,S1,LG-C001,Coline Ferrant,75
